Issue Type,Summary,Description,Priority,Labels,Test Steps,Test Data,Expected Result,Status
Test,VWO - Login: Verify user can view goal - ID_0001,This test case validates the view functionality for the goal component within the Login module of app.vwo.com.,Low,"vwo,automated,login","1. Log in to app.vwo.com
2. Navigate to Login
3. Perform View action on Goal
4. Verify success message","user_role: admin, component_id: 2918",The goal should be successfully viewed and reflected in the Login dashboard.,To Do
Test,VWO - Signup: Verify user can edit snapshot - ID_0002,This test case validates the edit functionality for the snapshot component within the Signup module of app.vwo.com.,Low,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Edit action on Snapshot
4. Verify success message","user_role: admin, component_id: 7406",The snapshot should be successfully edited and reflected in the Signup dashboard.,To Do
Test,VWO - Signup: Verify user can toggle goal - ID_0003,This test case validates the toggle functionality for the goal component within the Signup module of app.vwo.com.,Low,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Toggle action on Goal
4. Verify success message","user_role: admin, component_id: 6359",The goal should be successfully toggleed and reflected in the Signup dashboard.,To Do
Test,VWO - Signup: Verify user can export api key - ID_0004,This test case validates the export functionality for the api key component within the Signup module of app.vwo.com.,Critical,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform Export action on API Key
4. Verify success message","user_role: admin, component_id: 1524",The api key should be successfully exported and reflected in the Signup dashboard.,To Do
Test,VWO - Surveys: Verify user can create variation - ID_0005,This test case validates the create functionality for the variation component within the Surveys module of app.vwo.com.,High,"vwo,automated,surveys","1. Log in to app.vwo.com
2. Navigate to Surveys
3. Perform Create action on Variation
4. Verify success message","user_role: admin, component_id: 3725",The variation should be successfully createed and reflected in the Surveys dashboard.,To Do
Test,VWO - Account Settings: Verify user can create campaign - ID_0006,This test case validates the create functionality for the campaign component within the Account Settings module of app.vwo.com.,Medium,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Create action on Campaign
4. Verify success message","user_role: admin, component_id: 2941",The campaign should be successfully createed and reflected in the Account Settings dashboard.,To Do
Test,VWO - A/B Testing: Verify user can filter campaign - ID_0007,This test case validates the filter functionality for the campaign component within the A/B Testing module of app.vwo.com.,Medium,"vwo,automated,a/b_testing","1. Log in to app.vwo.com
2. Navigate to A/B Testing
3. Perform Filter action on Campaign
4. Verify success message","user_role: admin, component_id: 2965",The campaign should be successfully filtered and reflected in the A/B Testing dashboard.,To Do
Test,VWO - Surveys: Verify user can search goal - ID_0008,This test case validates the search functionality for the goal component within the Surveys module of app.vwo.com.,Low,"vwo,automated,surveys","1. Log in to app.vwo.com
2. Navigate to Surveys
3. Perform Search action on Goal
4. Verify success message","user_role: admin, component_id: 2649",The goal should be successfully searched and reflected in the Surveys dashboard.,To Do
Test,VWO - Integrations: Verify user can filter campaign - ID_0009,This test case validates the filter functionality for the campaign component within the Integrations module of app.vwo.com.,High,"vwo,automated,integrations","1. Log in to app.vwo.com
2. Navigate to Integrations
3. Perform Filter action on Campaign
4. Verify success message","user_role: admin, component_id: 9427",The campaign should be successfully filtered and reflected in the Integrations dashboard.,To Do
Test,VWO - Surveys: Verify user can delete segment - ID_0010,This test case validates the delete functionality for the segment component within the Surveys module of app.vwo.com.,High,"vwo,automated,surveys","1. Log in to app.vwo.com
2. Navigate to Surveys
3. Perform Delete action on Segment
4. Verify success message","user_role: admin, component_id: 2526",The segment should be successfully deleteed and reflected in the Surveys dashboard.,To Do
Test,VWO - Account Settings: Verify user can export segment - ID_0011,This test case validates the export functionality for the segment component within the Account Settings module of app.vwo.com.,High,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Export action on Segment
4. Verify success message","user_role: admin, component_id: 1052",The segment should be successfully exported and reflected in the Account Settings dashboard.,To Do
Test,VWO - Heatmaps: Verify user can delete variation - ID_0012,This test case validates the delete functionality for the variation component within the Heatmaps module of app.vwo.com.,Low,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Delete action on Variation
4. Verify success message","user_role: admin, component_id: 2672",The variation should be successfully deleteed and reflected in the Heatmaps dashboard.,To Do
Test,VWO - Account Settings: Verify user can edit goal - ID_0013,This test case validates the edit functionality for the goal component within the Account Settings module of app.vwo.com.,Critical,"vwo,automated,account_settings","1. Log in to app.vwo.com
2. Navigate to Account Settings
3. Perform Edit action on Goal
4. Verify success message","user_role: admin, component_id: 1628",The goal should be successfully edited and reflected in the Account Settings dashboard.,To Do
Test,VWO - Heatmaps: Verify user can export goal - ID_0014,This test case validates the export functionality for the goal component within the Heatmaps module of app.vwo.com.,Critical,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Export action on Goal
4. Verify success message","user_role: admin, component_id: 5830",The goal should be successfully exported and reflected in the Heatmaps dashboard.,To Do
Test,VWO - Heatmaps: Verify user can filter snapshot - ID_0015,This test case validates the filter functionality for the snapshot component within the Heatmaps module of app.vwo.com.,Critical,"vwo,automated,heatmaps","1. Log in to app.vwo.com
2. Navigate to Heatmaps
3. Perform Filter action on Snapshot
4. Verify success message","user_role: admin, component_id: 3882",The snapshot should be successfully filtered and reflected in the Heatmaps dashboard.,To Do
Test,VWO - Signup: Verify user can view dashboard widget - ID_0016,This test case validates the view functionality for the dashboard widget component within the Signup module of app.vwo.com.,High,"vwo,automated,signup","1. Log in to app.vwo.com
2. Navigate to Signup
3. Perform View action on Dashboard Widget
4. Verify success message","user_role: admin, component_id: 3655",The dashboard widget should be successfully viewed and reflected in the Signup dashboard.,To Do
